This is a tab delimited file. If you are seeing this in your web browser, you 
probably want to use the "Save target as..." right-click option, or the 
"Download link to disk..." option on macintosh browsers. (Mac users, hold down 
the mouse button over the link until the pop-up menu appears.)
This text file contains the red:green ratios 
from hybridizations done with arrays containing all the elements 
of the yeast genome.  The "i" preceding the element indicates 
that the spot of DNA corresponds to an intergenic segment of DNA 
to the right of the indicated element.  Blanks indicate that the 
spot on the array corresponding to that element did not contain 
usable data.


NAME	FX6	FX4
iYBL024W	1.1	1.07
iYBL025W	1.39	1.12
iYBL026W	1.54	1.21
iYBL027W	1.12	1.14
iYBL028C	1.37	1.12
iYBL029W	0.95	1.12
iYBL030C-0	1.33	1.58
iYBL030C-1	1.94	1.6
iYBL031W	1.05	0.91
iYBL032W	1.04	0.86
iYBL033C	1.79	1.35
iYBL034C	0.99	0.9
iYBL035C	0.98	0.76
iYBL036C	0.82	0.72
iYBL037W	1.08	0.91
iYBL038W	0.87	0.74
iYBL039C	0.94	0.89
iYBL040C	1.05	0.75
iYBL041W	0.85	0.84
iYBL042C	0.84	0.63
iYBL043W	1.11	
iYBL044W	1.08	0.94
iYBL045C	1.36	1.15
iYBL046W	0.73	0.69
iYBL047C	1.24	1.07
iYBL048W	0.77	0.59
iYBL050W	0.99	0.98
iYBL051C	1.05	0.77
iYBL052C	1.05	1
iYBL054W	0.54	0.57
iYBL055C	1.45	1.24
iYBL056W	0.99	0.71
iYBL057C	1.09	1.11
iYBL058W	0.64	0.79
iYBL059W	1.02	1.21
iYBL060W	0.86	0.87
iYBL061C	1.31	1.27
iYBL063W	0.57	0.74
iYBL064C	1.38	1.01
iYBL065W	0.7	0.87
iYBL067C	1.07	1.06
iYBL068W	0.91	0.95
iYBL069W	1.24	1.05
iYBL071C	0.82	0.83
iYBL072C	1.21	1.41
iYBL073W	1.17	1.33
iYBL075C	0.89	0.97
iYBL076C	1.58	1.7
iYBL078C	0.71	0.93
iYBL079W	1.08	1.15
iYBL080C	0.76	1.12
iYBL081W	0.94	1
iYBL082C	0.98	1.19
iYBL084C	1.16	1.14
iYBL085W	0.86	0.83
iYBL086C	0.86	0.83
iYBL087C	0.6	0.56
iYBL088C	0.76	0.79
iYBL089W	0.93	0.72
iYBL090W	0.95	0.77
iYBL091C	0.71	0.62
iYBL091C-A	1.3	0.87
iYBL092W	0.82	0.65
iYBL093C	1.93	1.39
iYBL094C	0.96	0.81
iYBL097W	0.79	0.96
iYBL098W	0.75	0.69
iYBL099W	0.96	1.01
iYBL101C	1.25	1.15
iYBL102W	0.68	0.87
iYBL103C	0.57	0.54
iYBL104C	0.84	0.68
iYBL105C	0.87	0.62
iYBL106C	0.92	0.83
iYBL107C		
iYBL108W	1.2	1.3
iYBL109W-0	1.41	1.49
iYBL109W-1	0.81	0.85
iYBL111C	1.13	0.97
iYBLCdelta7	1.33	1.2
iYBLCsigma1	1.39	0.96
iYBLWdelta10	0.86	0.79
iYBLWdelta3	0.54	0.55
iYBLWtau1	0.95	1.15
iYBR001C	0.6	0.63
iYBR002C	0.78	0.74
iYBR003W	0.78	0.73
iYBR004C	0.77	0.92
iYBR005W	0.96	0.89
iYBR006W	0.9	0.81
iYBR007C-0	1.12	1.05
iYBR007C-1	1.51	1.33
iYBR008C	1.02	0.87
iYBR009C	1.17	1
iYBR010W	1.36	0.95
iYBR011C	1.33	1.13
iYBR013C	1.41	1.47
iYBR014C	1.3	1.12
iYBR015C	1.94	1.53
iYBR016W	1.53	1.38
iYBR017C	1.26	1.17
iYBR018C	1.28	1.27
iYBR019C	2.04	1.53
iYBR020W	1.23	1.08
iYBR021W	1.12	0.97
iYBR022W	0.69	0.85
iYBR023C	1.59	1.34
iYBR024W	1.2	1.21
iYBR025C	1.82	1.27
